robot,grid_x,grid_y,orientation,action_1,action_2,action_3,action_4,action_5
robot3,5,-3,S,-48.74228395061729,-58.61728395061729,-76.65434027777778,-52.786265432098766,-34.41358024691358
robot3,4,-3,S,-38.71682098765432,-3.96604938271605,-18.841820987654316,-24.41358024691358,-29.41358024691358
robot3,4,-3,SE,-3.0709876543209873,-18.179012345679013,-31.48148148148148,-36.48148148148148,-41.48148148148148
robot2,-5,-5,E,-112.49536988811728,-105.49740981867284,-131.32440200617285,-145.95252700617283,-253.2077423140914
robot2,-5,-4,E,-47.45987654320988,-35.838753858024695,-24.86111111111111,-106.26541280864197,-57.9096450617284
robot2,-5,-3,E,6.867283950617284,-5.0925925925925934,-10.092592592592593,-15.092592592592593,-18.305555555555557
robot2,-5,-2,E,-4.878086419753086,-9.938271604938272,-14.938271604938272,5.216049382716049,0
robot2,-5,-1,E,-4.573302469135803,-9.783950617283951,-14.783950617283951,-19.78395061728395,5.37037037037037
robot2,-5,0,E,-4.268518518518519,-9.62962962962963,-14.62962962962963,5.5246913580246915,0
robot2,-5,1,E,-1.5219907407407396,0,0,0,0
robot2,-6,1,E,-36.190933641975306,-49.077372685185196,-1.1265432098765444,-22.623456790123456,-27.623456790123456
robot2,-6,2,E,0,0,0,0,0
robot3,3,-3,S,-4.2592592592592595,-9.25925925925926,-14.25925925925926,0.8950617283950617,0
robot3,3,-4,S,-0.6766975308641978,-13.179012345679013,-18.179012345679013,-23.179012345679013,-22.607253086419753
robot3,2,-4,S,-3.9506172839506175,-8.950617283950617,-13.950617283950617,-18.950617283950617,2.422839506172839
robot3,1,-4,S,-3.7962962962962967,-8.796296296296298,-13.796296296296298,-18.796296296296298,1.3580246913580245
robot3,0,-4,S,2.191358024691358,0,0,0,0
robot3,0,-4,SW,-3.6419753086419755,-8.641975308641975,-13.641975308641975,-2.996913580246914,0
robot3,-1,-4,SW,-3.4876543209876543,1.5123456790123457,0,0,0
robot3,-1,-4,S,-3.4876543209876543,-8.487654320987655,1.666666666666666,0,0
robot3,-2,-5,S,-3.333333333333334,0,0,0,0
robot2,-4,-3,E,-97.31123987268519,-112.71174768518519,-29.094531250000003,-61.37552083333333,-84.24768518518519
robot2,-4,-2,E,-31.609259259259254,-51.10185185185186,-60.97685185185186,-68.53396990740741,-57.70910493827161
robot2,-4,-1,E,-63.28303867669753,-70.82853009259259,-55.82638888888889,-63.387268518518525,-84.24768518518519
robot2,-4,0,E,-96.44203414351853,-15.369598765432094,-54.12648003472223,-68.24056712962962,-84.24768518518519
robot2,-4,1,NE,7.974922839506172,0,0,0,0
robot2,-4,1,E,-0.7499131944444453,-12.623456790123457,-17.623456790123456,-22.623456790123456,-32.31481481481482
robot1,5,6,W,-535.5748991736307,-540.9134636097848,-569.0998034047067,-387.70992192963024,-416.463154152199
robot2,-3,1,NE,0,0,0,0,0
robot1,4,6,W,-3.9506172839506175,-65.07716049382717,-15.702083333333334,0,0
robot1,3,4,W,-3.9506172839506175,0,0,0,0
robot4,-6,4,N,-27.511111111111113,-91.46886574074074,-70.11390769675926,-11.234567901234568,-16.23456790123457
robot4,-5,3,N,-21.305555555555554,-41.18055555555555,-56.05555555555555,-65.93055555555554,-50.712500000000006
robot4,-3,3,N,-0.8641975308641969,4.290123456790123,0,0,0
robot4,-3,4,N,-95.95533854166666,-121.09461805555556,-95.53896604938272,-143.49069444444444,-55.921209490740736
robot4,-2,4,N,-3.0665702160493833,-11.234567901234568,-16.23456790123457,-7.804012345679013,-8.205246913580247
robot4,-2,3,N,-25.854166666666664,-18.926697530864196,-10.401234567901234,-10.828703703703704,-20.462962962962962
robot4,-1,3,N,-0.2469135802469129,-5.246913580246913,4.753086419753087,0,0
robot4,-1,3,NW,-0.2469135802469129,4.9074074074074066,0,0,0
robot4,0,3,NW,-0.09259259259259345,-5.0925925925925934,-10.092592592592593,5.061728395061729,0
robot4,0,2,NW,-10.04243827160494,-8.309413580246913,-18.395061728395063,-23.395061728395063,-28.395061728395063
robot4,1,2,NW,-4.573302469135803,5.216049382716049,0,0,0
robot4,1,2,W,5.37037037037037,0,0,0,0
robot4,1,1,W,-4.268518518518519,-9.62962962962963,-14.62962962962963,5.37037037037037,0
robot4,1,0,W,-4.268518518518519,5.37037037037037,0,0,0
robot4,1,0,SW,5.555555555555555,0,0,0,0
robot4,1,-1,SW,5.5246913580246915,0,0,0,0
robot4,0,-1,SW,-3.963734567901234,5.5246913580246915,0,0,0
robot4,0,-1,S,-3.963734567901234,5.679012345679013,0,0,0
robot4,-1,-1,S,-3.65895061728395,5.679012345679013,0,0,0
robot4,-1,-1,SE,6.1728395061728385,0,0,0,0
robot4,-2,-1,SE,-3.3541666666666696,5.833333333333332,0,0,0
robot4,-2,-1,E,6.404320987654321,0,0,0,0
robot4,-2,0,E,6.635802469135802,0,0,0,0
robot4,-3,0,E,6.867283950617283,0,0,0,0
robot4,-3,1,NE,7.098765432098765,0,0,0,0
robot4,-2,1,NE,-2.1350308641975313,6.450617283950617,0,0,0
robot4,-2,2,N,-2.1350308641975313,-8.549382716049383,6.604938271604938,0,0
robot4,-1,2,N,7.407407407407407,0,0,0,0
robot4,-1,2,NW,-1.8302469135802468,-5.917438271604938,0,0,0
robot1,5,4,W,-181.06852514949847,-118.70225694444443,-86.41596221547067,-160.09847559799383,-154.96757282021605
robot4,1,1,NW,-1.8302469135802468,-8.395061728395062,-13.395061728395062,-7.45679012345679,0
robot1,4,4,W,-79.53441550925925,-95.42123842592594,-52.80344328703704,-113.04207175925926,-72.54612268518518
robot1,4,3,W,-29.939814814814817,-39.81481481481482,-49.68981481481481,-59.56481481481481,-26.583584104938275
robot4,2,0,NW,-1.5254629629629624,-7.155864197530864,0,0,0
robot1,4,2,W,-29.789351851851855,-44.66435185185185,-54.53935185185185,-44.66435185185185,-25.405864197530864
robot1,4,1,W,6.944444444444445,-8.333333333333334,-13.333333333333334,-18.333333333333336,-19.613425925925927
robot4,3,-2,NW,-1.2206790123456779,0,0,0,0
robot1,4,0,W,-3.1790123456790127,-8.575231481481483,-16.38888888888889,-21.38888888888889,2.1809413580246906
robot1,4,0,NW,-3.1790123456790127,-7.3140432098765435,-5.018132716049383,0,0
robot1,5,0,W,-15.430155285493832,-8.170524691358025,0,0,0
robot1,5,-1,W,-2.8703703703703702,-7.87037037037037,-12.87037037037037,-21.38888888888889,0
robot1,5,7,W,-106.72157407407407,-234.44627331512825,-297.4470890284522,-264.80309547106333,-174.8528288966049
robot1,5,4,NW,-2.8703703703703702,2.28395061728395,0,0,0
robot1,5,3,NW,-29.486882716049376,-38.94180169753087,-60.81095679012346,-15.126369598765434,-24.47530864197531
robot1,5,3,W,-24.4548900462963,-39.57021604938272,-49.44521604938272,-59.32021604938272,-72.14052854938271
robot1,6,3,W,-9.416280864197532,-4.3240740740740735,-11.851851851851851,-16.85185185185185,-21.85185185185185
robot1,6,2,W,-2.4074074074074074,-7.407407407407407,-9.22337962962963,-21.85185185185185,-19.15432098765432
robot1,5,2,W,-27.083931327160496,-47.55331042631173,-11.234567901234568,-16.23456790123457,-21.23456790123457
robot1,5,2,SW,-2.253086419753087,2.901234567901234,0,0,0
robot1,5,1,SW,-7.098765432098766,-12.098765432098766,-17.098765432098766,-2.098765432098766,2.901234567901234
robot1,4,1,SW,-2.098765432098766,2.901234567901234,0,0,0
robot1,4,0,SW,-2.098765432098766,-7.098765432098766,-12.098765432098766,-17.098765432098766,3.0555555555555554
robot1,3,0,SW,-1.9444444444444446,-6.944444444444445,3.2098765432098766,0,0
robot2,-5,-5,SE,-31.312885802469136,0,0,0,0
robot1,3,-1,SW,-1.7901234567901234,-6.790123456790123,3.364197530864197,0,0
robot1,2,-1,SW,-1.635802469135803,-6.635802469135803,3.364197530864197,0,0
robot1,2,-1,S,-29.989969135802472,-19.968364197530867,-9.964506172839506,-18.395061728395063,-23.395061728395063
robot2,-6,-3,SE,-1.2206790123456779,-8.08641975308642,7.0679012345679,0,0
robot1,1,-1,S,-29.839506172839506,-39.714506172839506,-49.589506172839506,-1.481481481481481,-19.814043209876548
robot2,-6,-2,E,-33.20781250000001,-45.048611111111114,-20.27700617283951,-15.273148148148147,-27.314814814814817
robot1,0,-1,S,-1.3271604938271606,3.8271604938271606,0,0,0
robot2,-6,-1,E,-32.91064814814814,-44.89814814814815,-23.703703703703702,-15.122685185185189,-27.314814814814817
robot1,0,-2,S,-1.1728395061728394,-6.172839506172839,3.981481481481481,0,0
robot1,-1,-2,S,-1.018518518518519,-6.018518518518519,-11.018518518518519,-16.01851851851852,4.135802469135803
robot2,-6,0,E,-27.6134837962963,-44.74768518518518,-54.62268518518518,-37.04612268518519,-51.766801697530866
robot1,-2,-2,S,-0.8641975308641969,-5.864197530864197,-10.864197530864196,-15.864197530864196,4.290123456790123
robot1,-3,-2,S,-0.7098765432098766,0,6.589506172839506,0,0
robot1,-3,-2,SW,-0.7098765432098766,-3.672067901234568,0,0,0
robot1,-4,-2,S,-0.5555555555555554,-5.555555555555555,-10.555555555555555,-15.555555555555555,4.598765432098765
robot1,-5,-2,S,-0.401234567901235,-5.401234567901235,-10.401234567901234,4.753086419753087,0
robot1,-5,-3,S,-0.2469135802469129,4.9074074074074066,0,0,0
robot1,-6,-3,S,-0.09259259259259345,-5.0925925925925934,-10.092592592592593,-15.092592592592593,5.061728395061729
robot1,-7,-3,S,-4.878086419753086,-9.938271604938272,-14.938271604938272,5.216049382716049,0
robot1,-8,-3,S,-4.573302469135803,-9.783950617283951,-14.783950617283951,5.37037037037037,0
robot1,-9,-3,S,-4.268518518518519,0,0,0,0
robot2,-3,-8,NE,-55.30632716049383,0,0,0,0
robot2,-4,-7,E,-277.005185714483,-7.469135802469136,-12.469135802469136,7.530864197530864,0
robot1,6,2,NW,-35.71649305555556,-3.6574074074074074,-14.475308641975309,-19.47530864197531,-21.314814814814813
robot1,6,1,NW,-32.51003086419753,-50.35505401234568,-57.97762345679013,-57.81454475308642,-26.69753086419753
robot1,7,1,NW,-35.12216435185186,-45.78935185185185,-23.299382716049386,-16.01388888888889,-26.85185185185185
robot1,7,0,NW,6.777777777777777,-6.0138888888888875,-16.85185185185185,-18.602623456790127,-31.69753086419753
robot1,7,0,W,6.635802469135802,0,0,0,0
robot1,8,-1,W,-2.7445987654321002,-8.858024691358025,-10.558641975308644,-21.69753086419753,0
robot1,7,-1,SW,0,0,0,0,0
robot3,6,-3,E,-206.88163387345682,-8.333333333333334,-13.333333333333334,-28.179012345679013,-33.17901234567901
robot4,-3,4,NE,-24.014274691358025,0,0,0,0
robot4,-2,5,N,-0.9158950617283974,-7.9320987654321,-12.9320987654321,7.222222222222223,0
robot4,-1,4,N,-36.058796296296286,5.648148148148147,-9.192901234567904,-16.766203703703702,-30.462962962962962
robot4,-1,4,NW,7.376543209876543,0,0,0,0
robot4,0,4,NW,-0.30632716049382847,-7.623456790123457,-12.623456790123457,-17.623456790123456,7.530864197530864
robot4,1,3,NW,7.684413580246914,-7.469135802469136,-12.469135802469136,-17.469135802469136,-22.469135802469136
robot4,2,3,NW,7.839506172839506,0,0,0,0
robot4,2,2,NW,-26.029976851851853,-12.160493827160494,-17.160493827160494,-23.74922839506173,7.32716049382716
robot4,3,2,NW,-0.3020061728395076,-11.54320987654321,8.45679012345679,0,0
robot4,3,1,NW,8.756944444444446,0,0,0,0
robot4,3,1,W,-2.8547260802469143,-16.54320987654321,-21.54320987654321,-26.54320987654321,3.184799382716048
